,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Matam,15.6175,-13.3303,71.6,28,0,2.3,SN,2021-01-17 23:10:06
1,Matara,5.9485,80.5353,74.52,91,77,5.12,LK,2021-01-17 23:10:06
2,Mataura,-46.1927,168.8643,62.01,54,47,7.0,NZ,2021-01-17 23:10:06
3,Hisua,24.8333,85.4167,48.2,100,90,1.57,IN,2021-01-17 23:06:12
4,Rikitea,-23.1203,-134.9692,78.96,74,15,14.05,PF,2021-01-17 23:10:06
5,Bengkulu,-3.8004,102.2655,75.99,80,99,4.27,ID,2021-01-17 23:10:06
6,Arraial Do Cabo,-22.9661,-42.0278,77.0,78,0,17.27,BR,2021-01-17 23:10:06
7,Lukulu,-14.3707,23.242,68.59,79,100,4.29,ZM,2021-01-17 23:10:07
8,Busselton,-33.65,115.3333,70.0,58,19,4.0,AU,2021-01-17 23:07:08
9,Punta Arenas,-53.15,-70.9167,59.0,58,0,43.73,CL,2021-01-17 23:10:07
10,Ribeira Grande,38.5167,-28.7,62.76,80,61,25.61,PT,2021-01-17 23:10:07
11,Hermanus,-34.4187,19.2345,66.0,81,6,4.0,ZA,2021-01-17 23:10:07
12,Avera,33.194,-82.5271,48.2,49,1,3.44,US,2021-01-17 23:10:07
13,Porbandar,21.6422,69.6093,63.23,60,0,5.75,IN,2021-01-17 23:10:07
14,Kaeo,-35.1,173.7833,75.0,58,7,10.0,NZ,2021-01-17 23:10:07
15,Bria,6.5423,21.9863,69.21,30,36,3.0,CF,2021-01-17 23:10:08
16,Ushuaia,-54.8,-68.3,51.8,82,75,4.61,AR,2021-01-17 23:09:02
17,Guerrero Negro,27.9769,-114.0611,76.66,23,0,9.17,MX,2021-01-17 23:10:08
18,Butaritari,3.0707,172.7902,80.58,76,61,19.57,KI,2021-01-17 23:10:08
19,Dwarka,22.2394,68.9678,67.73,64,0,12.37,IN,2021-01-17 23:10:08
20,Poum,-20.2333,164.0167,83.14,78,62,9.73,NC,2021-01-17 23:10:08
21,Mount Gambier,-37.8333,140.7667,57.2,94,75,14.97,AU,2021-01-17 23:10:08
22,Albany,42.6001,-73.9662,37.99,79,100,1.01,US,2021-01-17 23:06:07
23,Saldanha,-33.0117,17.9442,66.2,72,0,5.75,ZA,2021-01-17 23:10:09
24,Stepnogorsk,52.3544,71.8869,9.34,94,11,11.39,KZ,2021-01-17 23:10:09
25,Hilo,19.7297,-155.09,82.4,57,90,5.75,US,2021-01-17 23:10:09
26,Khatanga,71.9667,102.5,-25.64,81,0,13.89,RU,2021-01-17 23:10:09
27,Margate,51.3813,1.3862,39.99,79,96,1.99,GB,2021-01-17 23:05:36
28,San Ramon De La Nueva Oran,-23.1322,-64.326,75.0,70,56,2.26,AR,2021-01-17 23:10:09
29,Gamba,-2.65,10.0,77.83,84,92,6.04,GA,2021-01-17 23:10:10
30,Moose Factory,51.2585,-80.6094,8.6,85,20,8.05,CA,2021-01-17 23:10:10
31,Cidreira,-30.1811,-50.2056,74.16,91,100,13.91,BR,2021-01-17 23:10:10
32,Maragogi,-9.0122,-35.2225,77.56,81,1,9.71,BR,2021-01-17 23:10:10
33,Altay,47.8667,88.1167,12.24,60,50,1.66,CN,2021-01-17 23:05:10
34,Sunland Park,31.7965,-106.58,66.2,10,1,10.36,US,2021-01-17 23:10:10
35,Half Moon Bay,37.4636,-122.4286,66.0,55,1,8.05,US,2021-01-17 23:10:10
36,Muros,42.7762,-9.0603,51.01,92,5,6.31,ES,2021-01-17 23:06:32
37,Faanui,-16.4833,-151.75,81.75,74,0,13.53,PF,2021-01-17 23:10:10
38,Sakakah,29.9697,40.2064,50.0,46,0,6.91,SA,2021-01-17 23:10:11
39,Beloha,-25.1667,45.05,74.07,80,100,3.74,MG,2021-01-17 23:10:11
40,Avarua,-21.2078,-159.775,86.0,66,20,9.22,CK,2021-01-17 23:10:11
41,Dikson,73.5069,80.5464,-24.05,84,34,19.37,RU,2021-01-17 23:07:33
42,Pedasi,7.5333,-80.0333,80.38,75,10,5.7,PA,2021-01-17 23:10:11
43,Peso Da Regua,41.1649,-7.787,46.49,67,18,2.95,PT,2021-01-17 23:10:11
44,Rocha,-34.4833,-54.3333,65.39,70,9,9.04,UY,2021-01-17 23:10:11
45,New Norfolk,-42.7826,147.0587,61.0,70,97,4.0,AU,2021-01-17 23:10:11
46,Viseu,40.661,-7.9097,39.99,88,16,4.54,PT,2021-01-17 23:10:12
47,Pevek,69.7008,170.3133,-28.89,86,6,4.29,RU,2021-01-17 23:10:12
48,Mahebourg,-20.4081,57.7,78.8,78,75,11.5,MU,2021-01-17 23:10:12
49,Dongsheng,39.8161,109.9776,13.53,61,0,8.84,CN,2021-01-17 23:10:12
50,Ulladulla,-35.35,150.4667,72.0,60,0,8.05,AU,2021-01-17 23:10:12
51,Bakchar,57.0186,82.0711,16.12,95,100,13.62,RU,2021-01-17 23:10:12
52,Yellowknife,62.456,-114.3525,1.4,85,90,4.61,CA,2021-01-17 23:10:13
53,Maniitsoq,65.4167,-52.9,19.06,93,100,6.76,GL,2021-01-17 23:10:13
54,Georgetown,5.4112,100.3354,78.8,61,20,12.66,MY,2021-01-17 23:10:07
55,Shar,49.5886,81.0453,9.84,87,42,14.03,KZ,2021-01-17 23:10:13
56,Chapais,49.7834,-74.8492,15.8,92,90,16.11,CA,2021-01-17 23:08:37
