City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Dajal,PK,2021-01-12 22:26:58,29.5577,70.3762,48.34,35,0,1.3
1,Rikitea,PF,2021-01-12 22:26:59,-23.1203,-134.9692,77.92,79,6,18.16
2,Atuona,PF,2021-01-12 22:26:59,-9.8,-139.0333,77.52,79,80,16.04
3,Arraial Do Cabo,BR,2021-01-12 22:26:59,-22.9661,-42.0278,78.8,73,20,18.41
4,Lompoc,US,2021-01-12 22:26:59,34.6391,-120.4579,66.0,48,1,3.53
5,Guerrero Negro,MX,2021-01-12 22:26:59,27.9769,-114.0611,70.83,25,0,9.28
6,Punta Arenas,CL,2021-01-12 22:22:22,-53.15,-70.9167,51.8,54,0,27.63
7,The Valley,AI,2021-01-12 22:22:27,18.217,-63.0578,78.8,73,40,11.5
8,Georgetown,MY,2021-01-12 22:23:52,5.4112,100.3354,78.01,78,20,6.42
9,Brigantine,US,2021-01-12 22:27:00,39.4101,-74.3646,39.99,56,1,4.61
10,Axim,GH,2021-01-12 22:27:00,4.8699,-2.2405,79.29,85,5,8.9
11,Cardston,CA,2021-01-12 22:27:00,49.2,-113.3019,46.4,49,100,16.11
12,Barrow,US,2021-01-12 22:27:00,71.2906,-156.7887,-2.2,78,1,25.32
13,Ushuaia,AR,2021-01-12 22:27:00,-54.8,-68.3,51.8,46,20,18.41
14,Acarau,BR,2021-01-12 22:27:00,-2.8856,-40.12,79.32,78,80,12.37
15,Puerto Ayora,EC,2021-01-12 22:27:00,-0.7393,-90.3518,86.0,54,0,6.91
16,Castro,BR,2021-01-12 22:26:12,-24.7911,-50.0119,72.75,84,74,2.75
17,Abnub,EG,2021-01-12 22:27:01,27.2696,31.1511,59.0,58,0,8.05
18,Cap Malheureux,MU,2021-01-12 22:27:01,-19.9842,57.6142,77.0,88,88,7.0
19,Nicoya,CR,2021-01-12 22:27:01,10.1483,-85.452,86.0,58,40,25.32
20,Muros,ES,2021-01-12 22:27:01,42.7762,-9.0603,36.0,92,9,5.41
21,Vrangel,RU,2021-01-12 22:27:02,42.7297,133.0839,22.66,93,79,3.44
22,Tuktoyaktuk,CA,2021-01-12 22:27:02,69.4541,-133.0374,-0.4,85,90,23.02
23,Buala,SB,2021-01-12 22:27:02,-8.145,159.5921,82.04,73,100,2.04
24,Busselton,AU,2021-01-12 22:27:02,-33.65,115.3333,57.99,84,94,11.27
25,Port Alfred,ZA,2021-01-12 22:27:02,-33.5906,26.891,68.0,95,91,1.01
26,Lensk,RU,2021-01-12 22:27:02,60.7253,114.9278,-20.74,82,100,8.19
27,Kodiak,US,2021-01-12 22:27:03,57.79,-152.4072,37.51,80,100,4.54
28,Nanortalik,GL,2021-01-12 22:27:03,60.1432,-45.2371,32.92,93,100,8.59
29,Albany,US,2021-01-12 22:24:34,42.6001,-73.9662,32.0,70,83,3.04
30,Saint George,US,2021-01-12 22:27:03,37.1041,-113.5841,54.0,25,1,2.55
31,Honningsvag,NO,2021-01-12 22:27:03,70.9821,25.9704,15.8,73,0,17.27
32,Nemuro,JP,2021-01-12 22:27:03,43.3236,145.575,32.63,97,99,17.78
33,San Juan,AR,2021-01-12 22:22:43,-31.5375,-68.5364,83.5,28,0,8.21
34,Swellendam,ZA,2021-01-12 22:27:03,-34.0226,20.4417,68.0,94,99,11.5
35,Talnakh,RU,2021-01-12 22:22:40,69.4865,88.3972,-10.3,89,100,12.12
36,Shelburne,CA,2021-01-12 22:27:04,44.0787,-80.2041,28.99,95,90,7.81
37,Souillac,MU,2021-01-12 22:27:04,-20.5167,57.5167,78.8,89,75,11.5
38,Kaitangata,NZ,2021-01-12 22:27:04,-46.2817,169.8464,66.0,69,3,4.0
39,Avarua,CK,2021-01-12 22:27:04,-21.2078,-159.775,84.2,70,75,21.85
40,Deputatskiy,RU,2021-01-12 22:27:04,69.3,139.9,-36.92,76,63,1.39
41,Jamestown,US,2021-01-12 22:25:36,42.097,-79.2353,28.99,80,90,5.66
42,Hermanus,ZA,2021-01-12 22:27:04,-34.4187,19.2345,70.0,87,86,7.0
43,Noumea,NC,2021-01-12 22:27:05,-22.2763,166.4572,84.2,74,20,14.97
44,Springdale,US,2021-01-12 22:26:40,36.1867,-94.1288,48.2,46,1,8.05
45,Cabo San Lucas,MX,2021-01-12 22:25:07,22.8909,-109.9124,73.0,46,75,10.36
46,Montlucon,FR,2021-01-12 22:27:05,46.3333,2.6,42.01,97,100,7.0
47,Jibuti,DJ,2021-01-12 22:27:05,11.5,42.5,73.4,64,20,14.97
48,Lata,PT,2021-01-12 22:27:05,40.1629,-8.3327,46.0,87,0,2.3
49,Tateyama,JP,2021-01-12 22:24:35,34.9833,139.8667,32.0,93,20,2.3
50,Ilheus,BR,2021-01-12 22:24:36,-14.7889,-39.0494,80.6,83,40,9.22
51,Salalah,OM,2021-01-12 22:26:16,17.0151,54.0924,73.4,31,0,23.02
52,Irbil,IQ,2021-01-12 22:27:06,36.1926,44.0106,44.6,53,0,4.61
53,Longyearbyen,SJ,2021-01-12 22:24:41,78.2186,15.6401,26.6,68,75,23.02
54,Aberdeen,GB,2021-01-12 22:22:55,57.1437,-2.0981,35.6,80,71,9.22
55,Bengkulu,ID,2021-01-12 22:27:06,-3.8004,102.2655,75.81,82,100,4.52
56,Turkan,AZ,2021-01-12 22:27:06,40.3639,50.215,44.6,100,90,6.91
57,Hilo,US,2021-01-12 22:27:06,19.7297,-155.09,73.4,78,90,8.05
58,Qaanaaq,GL,2021-01-12 22:27:06,77.484,-69.3632,12.38,82,99,9.89
59,Bredasdorp,ZA,2021-01-12 22:27:07,-34.5322,20.0403,68.0,94,100,11.5
60,Marquette,US,2021-01-12 22:27:07,46.5333,-87.6335,30.0,77,80,4.0
61,Yellowknife,CA,2021-01-12 22:27:07,62.456,-114.3525,7.0,85,20,2.59
62,Ginda,IN,2021-01-12 22:27:07,30.6945,78.4932,44.37,39,0,6.51
63,Kyzyl-Suu,KG,2021-01-12 22:27:07,42.3414,78.0056,29.35,79,98,7.16
64,Verkhnevilyuysk,RU,2021-01-12 22:27:07,63.4453,120.3167,-39.08,81,95,3.18
65,Dikson,RU,2021-01-12 22:27:07,73.5069,80.5464,-7.92,91,100,8.37
66,Airai,TL,2021-01-12 22:27:07,-8.9266,125.4092,62.29,100,93,1.57
67,Chermoz,RU,2021-01-12 22:27:07,58.787,56.1489,-8.07,87,96,6.62
68,Vaini,TO,2021-01-12 22:27:08,-21.2,-175.2,84.2,84,75,9.22
69,Cayenne,GF,2021-01-12 22:27:08,4.9333,-52.3333,77.0,94,90,4.61
70,Saldanha,ZA,2021-01-12 22:27:08,-33.0117,17.9442,75.2,64,0,3.44
71,Artemisa,CU,2021-01-12 22:27:08,22.814,-82.7561,75.2,78,75,12.66
72,Thompson,CA,2021-01-12 22:26:32,55.7435,-97.8558,24.8,100,75,4.61
73,Hasaki,JP,2021-01-12 22:24:16,35.7333,140.8333,26.6,100,20,2.3
74,Jiexiu,CN,2021-01-12 22:27:08,37.0244,111.9125,31.91,65,0,8.66
75,Aklavik,CA,2021-01-12 22:27:08,68.2191,-135.0107,3.2,92,100,2.3
76,New Norfolk,AU,2021-01-12 22:27:09,-42.7826,147.0587,66.0,57,13,1.99
77,Mataura,NZ,2021-01-12 22:27:09,-46.1927,168.8643,71.13,52,90,1.99
78,Tabas,IR,2021-01-12 22:27:09,33.5959,56.9244,32.0,27,0,4.61
79,Kavieng,PG,2021-01-12 22:27:09,-2.5744,150.7967,83.66,74,66,15.35
80,Kloulklubed,PW,2021-01-12 22:27:09,7.0419,134.2556,75.2,100,75,6.82
81,Dongsheng,CN,2021-01-12 22:27:09,39.8161,109.9776,17.37,71,0,16.11
82,Hovd,MN,2021-01-12 22:27:10,48.0056,91.6419,13.39,81,94,3.4
83,Concepcion Del Uruguay,AR,2021-01-12 22:27:10,-32.4825,-58.2372,80.01,49,6,4.0
84,Buchanan,LR,2021-01-12 22:27:10,5.8808,-10.0467,77.0,94,75,9.31
85,Sinnamary,GF,2021-01-12 22:27:10,5.3833,-52.95,76.93,87,77,11.65
86,Ancud,CL,2021-01-12 22:27:10,-41.8697,-73.8203,60.01,67,90,9.22
87,Bangsund,NO,2021-01-12 22:27:10,64.3968,11.3949,27.0,75,98,11.01
88,Los Llanos De Aridane,ES,2021-01-12 22:25:12,28.6585,-17.9182,60.8,72,90,6.91
89,Luderitz,NA,2021-01-12 22:27:10,-26.6481,15.1594,68.29,74,7,20.67
90,Leshukonskoye,RU,2021-01-12 22:24:55,64.8989,45.7622,-13.83,86,31,2.73
91,Chuy,UY,2021-01-12 22:27:11,-33.6971,-53.4616,65.17,61,100,11.68
92,Kosino,RU,2021-01-12 22:27:11,58.4127,51.2782,-13.77,89,51,4.68
93,Pevek,RU,2021-01-12 22:27:11,69.7008,170.3133,-29.58,86,100,0.67
94,Turukhansk,RU,2021-01-12 22:25:36,65.8167,87.9833,-9.44,90,100,12.26
95,Hualmay,PE,2021-01-12 22:27:11,-11.0964,-77.6139,73.09,76,82,9.15
96,Clyde River,CA,2021-01-12 22:27:11,70.4692,-68.5914,-4.0,92,90,3.44
97,Cape Town,ZA,2021-01-12 22:26:34,-33.9258,18.4232,73.0,73,0,10.36
98,Kulhudhuffushi,MV,2021-01-12 22:27:12,6.6221,73.07,77.74,85,100,14.7
99,Saint-Philippe,RE,2021-01-12 22:27:12,-21.3585,55.7679,77.0,94,75,4.61
100,Pljevlja,ME,2021-01-12 22:27:12,43.3333,19.3333,23.0,100,90,1.14
101,Saskylakh,RU,2021-01-12 22:27:12,71.9167,114.0833,-28.77,83,88,5.14
102,Bagdarin,RU,2021-01-12 22:27:12,54.4333,113.6,-17.72,82,96,3.78
103,Butaritari,KI,2021-01-12 22:27:12,3.0707,172.7902,81.64,79,99,19.75
104,Hobart,AU,2021-01-12 22:27:07,-42.8794,147.3294,66.0,63,20,5.75
105,Jacareacanga,BR,2021-01-12 22:27:13,-6.2222,-57.7528,78.06,89,83,2.21
106,Batagay-Alyta,RU,2021-01-12 22:27:13,67.8006,130.4114,-40.59,72,0,0.81
107,Chokurdakh,RU,2021-01-12 22:27:13,70.6333,147.9167,-37.79,83,54,1.9
108,Redlands,US,2021-01-12 22:23:02,34.0556,-117.1825,73.0,12,75,2.66
109,Ponta Do Sol,PT,2021-01-12 22:27:13,32.6667,-17.1,59.0,63,40,6.91
110,Sao Geraldo Do Araguaia,BR,2021-01-12 22:27:13,-6.4006,-48.555,76.82,88,35,0.38
111,Labuhan,ID,2021-01-12 22:27:13,-6.8844,112.2051,78.67,84,100,11.23
112,Jamsa,FI,2021-01-12 22:27:14,61.8642,25.19,19.4,86,90,12.66
113,Tyukalinsk,RU,2021-01-12 22:27:14,55.8732,72.1967,-21.62,85,29,8.7
114,Udachnyy,RU,2021-01-12 22:27:14,66.4167,112.4,-22.45,84,100,4.63
115,Luba,GQ,2021-01-12 22:27:14,3.4568,8.5547,80.6,94,20,9.22
116,East London,ZA,2021-01-12 22:22:48,-33.0153,27.9116,73.62,88,99,10.78
117,Khatanga,RU,2021-01-12 22:27:14,71.9667,102.5,-21.59,87,100,1.97
118,Vila Franca Do Campo,PT,2021-01-12 22:27:14,37.7167,-25.4333,59.0,100,75,19.57
119,Malaya Purga,RU,2021-01-12 22:27:15,56.5567,53.0043,-8.0,84,93,1.01
120,Kudahuvadhoo,MV,2021-01-12 22:27:15,2.6708,72.8944,81.72,78,100,16.51
121,Bluff,NZ,2021-01-12 22:27:15,-46.6,168.3333,61.21,74,100,2.95
122,Upernavik,GL,2021-01-12 22:27:15,72.7868,-56.1549,15.28,95,100,9.04
123,Snasa,NO,2021-01-12 22:27:15,64.2457,12.3778,12.6,86,12,13.73
124,Itoigawa,JP,2021-01-12 22:27:15,37.0333,137.85,30.0,89,67,14.88
125,Tambura,SS,2021-01-12 22:27:16,5.6,27.4667,71.28,29,2,1.83
126,Sayhat,SA,2021-01-12 22:27:16,26.4852,50.0405,48.2,61,0,8.05
127,Sochi,RU,2021-01-12 22:26:45,43.6,39.7303,60.01,82,20,4.47
128,Mae Chan,TH,2021-01-12 22:27:16,20.1467,99.8526,53.6,76,90,3.44
129,Namatanai,PG,2021-01-12 22:27:16,-3.6667,152.4333,83.03,71,54,10.98
